!date time sst_c sst_c_fix
2018-11-11 17:00:00 10.9265 10.9265
2018-11-12 17:00:00 10.9265 10.9265
2018-11-13 17:00:00 10.9265 10.9265
2018-11-14 17:00:00 10.801 10.801
2018-11-15 17:00:00 10.6755 10.6755
2018-11-16 17:00:00 10.4245 10.4245
2018-11-17 17:00:00 10.048 10.048
2018-11-18 17:00:00 9.797 9.797
2018-11-19 17:00:00 9.6715 9.6715
2018-11-20 17:00:00 9.546 9.546
2018-11-21 17:00:00 9.4205 9.4205
2018-11-22 17:00:00 9.4205 9.4205
2018-11-23 17:00:00 9.4205 9.4205
2018-11-24 17:00:00 9.4205 9.4205
2018-11-25 17:00:00 9.295 9.295
2018-11-26 17:00:00 9.295 9.295
2018-11-27 17:00:00 9.1695 9.1695
2018-11-28 17:00:00 9.044 9.044
2018-11-29 17:00:00 9.044 9.044
2018-11-30 17:00:00 8.9185 8.9185
2018-12-01 17:00:00 8.9185 8.9185
2018-12-02 17:00:00 8.9185 8.9185
2018-12-03 17:00:00 8.9185 8.9185
2018-12-04 17:00:00 8.793 8.793
2018-12-05 17:00:00 8.542 8.542
2018-12-06 17:00:00 8.291 8.291
2018-12-07 17:00:00 8.1655 8.1655
2018-12-08 17:00:00 8.1655 8.1655
2018-12-09 17:00:00 8.1655 8.1655
2018-12-10 17:00:00 8.04 8.04
2018-12-11 17:00:00 8.04 8.04
2018-12-12 17:00:00 7.9145 7.9145
2018-12-13 17:00:00 7.789 7.789
2018-12-14 17:00:00 7.789 7.789
2018-12-15 17:00:00 7.789 7.789
2018-12-16 17:00:00 7.789 7.789
2018-12-17 17:00:00 7.9145 7.9145
2018-12-18 17:00:00 7.6635 7.6635
2018-12-19 17:00:00 7.789 7.789
2018-12-20 17:00:00 7.6635 7.6635
2018-12-21 17:00:00 7.6635 7.6635
2018-12-22 17:00:00 7.6635 7.6635
2018-12-23 17:00:00 7.6635 7.6635
2018-12-24 17:00:00 7.538 7.538
2018-12-25 17:00:00 7.4125 7.4125
2018-12-26 17:00:00 7.287 7.287
2018-12-27 17:00:00 7.287 7.287
2018-12-28 17:00:00 7.287 7.287
2018-12-29 17:00:00 7.287 7.287
2018-12-30 17:00:00 7.287 7.287
2018-12-31 17:00:00 7.287 7.287
2019-01-01 17:00:00 7.287 7.287
